[HC2000],sepHC_Kim,ra_1,dec_1,ID_Kim,ra_2,dec_2,mualpha,mualpha_err,mudelta,mudelta_err,Nepochs,dT,mag139,flag,RAJ2000_1,DECJ2000,RAJ2000_2,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag,OptID,AltID,sepHC_daRio,ra,dec,ID_daRio,RAh,RAm,RAs,DE-,DEd,DEm,DEs,logT,Temp(daRio),e_logT,logL,e_logL,AV,e_AV,f_BMass,BMass,e_BMass,l_logBA,logBA,e_logBA,DMass,e_DMass,logDA,e_logDA,Temp_daRio,Temp_us,eTemp_us,eTemp_us_STD,RV_us,RVe_us,RVe_us_STD,vsini_us,vsinie_us,vsinie_us_STD,sepHC_APOGEE,veiling_O32,veiling_O33,2MASS,ra_apogee,dec_apogee,RV_apogee,RVe_apogee,Temp_apogee,eTemp_apogee,raT,decT,RV_tobin,RVe_tobin,ID
28,0.1572367868,83.86010488,-5.42545548,346,83.86010488,-5.42545548,-0.34,0.03,0.55,0,3,16.9,13.72,,83.86010634,-5.425457836,05 35 26.43,-05 25 31.5,,12.433,,13.141,0.001,0.004,3096,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

29,0.1552015818,83.85560715,-5.42490039,325,83.85560715,-5.42490039,-1.16,0.08,-1.66,0.38,3,16.9,13.03,,83.85561192,-5.424893591,05 35 25.35,-05 25 29.5,,11.743,,12.369,0.001,0.004,3095,,0.3594378949,83.85554167,-5.424805556,242,5,35,25.33,-,5,25,29.3,3.476,2992.264637,0.001,-0.974,0.021,0.157,0.108,~,0.097,,<,6,,0.134,0.001,6.163,0.025,2992.264637,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

30,0.06763956885,83.84096312,-5.42457373,434,83.84096312,-5.42457373,0.65,0.49,-0.01,0.38,3,16.2,17.16,,83.84096031,-5.424573687,05 35 21.83,-05 25 28.4,,15.051,,15.398,0.03,0.03,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

31,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 21.67,-05 25 26.5,,10.558,,10.887,0.001,0.003,690,,0.1493283617,83.84025,-5.424027778,212,5,35,21.66,-,5,25,26.5,3.585,3845.91782,0.01,-0.446,0.059,0.739,0.279,,0.892,0.089,,6.885,0.053,0.51,0.039,6.302,0.049,3845.91782,,,,,,,,,,0.1287996967,,,2M05352166-0525264,83.84025574,-5.424026966,24.9692,0.659766,4217.04,52.3413,83.84025417,-5.424027778,26.2,3.7,0535216-052526

32,0.03887478929,83.84832274,-5.4240301,694,83.84832274,-5.4240301,-7.25,0.26,1.09,0.72,2,10.5,12.81,4,83.84832274,-5.4240301,05 35 23.60,-05 25 26.5,,10.263,,11.239,0.001,0.003,737,,0,83.84833333,-5.424027778,235,5,35,23.6,-,5,25,26.5,3.529,3380.648362,0.001,-0.835,0.015,1.359,0.061,,0.336,0.006,,6.535,0.025,0.241,0.003,6.294,0.022,3380.648362,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

33,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 14.35,-05 25 22.5,,15.285,,17.402,0.035,0.1,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

34,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 20.03,-05 25 22.4,,13.667,,16.123,0.008,0.028,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

