molecule,isotope,frequency,intensity,einstein_a,air_halfwidth,self_halfwidth,lower_energy,t_exponent,p_shift,upper_global,lower_global,upper_local,lower_local,err1,err2,err3,err4,err5,err6,ref1,ref2,ref3,ref4,ref5,ref6,mixing_flag,upper_weight,lower_weight
5,2,4250.6161,2.424e-26,0.6042,0.0425,0.041,1934.6669,0.67,0,              2,              0,,     R 32,4,6,6,6,2,0,2,2,2,2,1,0,,134,130
5,3,4250.7391,6.582e-29,0.6307,0.042,0.041,2842.8407,0.67,0,              2,              0,,     R 39,4,6,6,2,2,0,2,2,2,2,1,0,,81,79
5,4,4250.9987,1.391e-35,2.062,0.042,0.041,5935.6657,0.67,0,              3,              1,,     R 45,4,6,6,2,2,0,2,2,2,2,1,0,,558,546
5,4,4251.3965,6.301e-36,2.075,0.042,0.041,6104.2634,0.67,0,              3,              1,,     R 46,4,6,6,2,2,0,2,2,2,2,1,0,,570,558
5,3,4251.6249,3.355e-29,0.6353,0.042,0.041,2987.9013,0.67,0,              2,              0,,     R 40,4,6,6,2,2,0,2,2,2,2,1,0,,83,81
5,4,4251.7204,2.805e-36,2.09,0.042,0.041,6276.4251,0.67,0,              3,              1,,     R 47,4,6,6,2,2,0,2,2,2,2,1,0,,582,570
5,4,4251.9702,1.227e-36,2.104,0.042,0.041,6452.1444,0.67,0,              3,              1,,     R 48,4,6,6,2,2,0,2,2,2,2,1,0,,594,582
5,2,4251.9923,1.399e-26,0.6086,0.042,0.041,2055.1702,0.67,0,              2,              0,,     R 33,4,6,6,6,2,0,2,2,2,2,1,0,,138,134
5,4,4252.1128,7.359e-25,0.5414,0.0555,0.061,340.8686,0.72,0,              2,              0,,     R 13,4,6,7,6,6,0,2,2,2,2,1,0,,174,162
5,1,4252.3022,1.299e-21,0.6775,0.0748,0.082,11.535,0.75,-0.00379,              2,              0,,     P  2,4,6,7,6,6,3,2,3,2,2,1,1,,3,5
5,3,4252.4402,1.68e-29,0.6399,0.042,0.041,3136.5149,0.67,0,              2,              0,,     R 41,4,6,6,2,2,0,2,2,2,2,1,0,,85,83
5,1,4253.0911,1.856e-25,1.707,0.0555,0.061,2489.7831,0.72,0,              3,              1,,     R 13,4,6,7,6,6,0,2,2,2,2,1,0,,29,27
5,3,4253.1849,8.266e-30,0.6447,0.042,0.041,3288.6762,0.67,0,              2,              0,,     R 42,4,6,6,2,2,0,2,2,2,2,1,0,,87,85
5,2,4253.2985,7.932e-27,0.6134,0.042,0.041,2179.2743,0.67,0,              2,              0,,     R 34,4,6,6,6,2,0,2,2,2,2,1,0,,142,138
5,3,4253.8588,3.994e-30,0.6493,0.042,0.041,3444.3796,0.67,0,              2,              0,,     R 43,4,6,6,2,2,0,2,2,2,2,1,0,,89,87
5,3,4254.364,1.186e-36,0.7307,0.042,0.041,6627.2752,0.67,0,              2,              0,,     R 60,4,6,6,2,2,0,2,2,2,2,1,0,,123,121
5,3,4254.4619,1.897e-30,0.6542,0.042,0.041,3603.6195,0.67,0,              2,              0,,     R 44,4,6,6,2,2,0,2,2,2,2,1,0,,91,89
5,2,4254.5346,4.415e-27,0.6181,0.042,0.041,2306.9746,0.67,0,              2,              0,,     R 35,4,6,6,2,2,0,2,2,2,2,1,0,,146,142
5,4,4254.8356,6.15e-25,0.5468,0.0549,0.06,393.2758,0.71,0,              2,              0,,     R 14,4,6,7,6,6,0,2,2,2,2,1,0,,186,174
5,3,4254.9129,3.295e-36,0.7261,0.042,0.041,6412.3306,0.67,0,              2,              0,,     R 59,4,6,6,2,2,0,2,2,2,2,1,0,,121,119
5,3,4254.9939,8.848e-31,0.6588,0.042,0.041,3766.39,0.67,0,              2,              0,,     R 45,4,6,6,2,2,0,2,2,2,2,1,0,,93,91
5,3,4255.3888,8.997e-36,0.7213,0.042,0.041,6200.814,0.67,0,              2,              0,,     R 58,4,6,6,2,2,0,2,2,2,2,1,0,,119,117
5,3,4255.4549,4.055e-31,0.6635,0.042,0.041,3932.6852,0.67,0,              2,              0,,     R 46,4,6,6,2,2,0,2,2,2,2,1,0,,95,93
