mass_2myr,mass_1myr,mass_3myr,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
0.897305,0.9697586,1.0461706,8.227367560570988,9.734707348691888,11.65454438046275,0.9332868,1.0072004,1.0875355,0.9514383,1.0264483,1.1094956
1.1326669,1.2418883,1.3933457,14.361757852564237,18.799028227926236,27.734127003778024,1.1837315,1.30957,1.4976617,1.2120626,1.3490419,1.5550943
1.6110276,1.8268038,2.0722867,46.20987566690583,76.56323936297164,132.51135655737824,1.7178631,1.9438496,2.1946447,1.7716401,2.0065777,2.2692323
2.3451062,2.6298367,2.6310456,263.6284037307252,480.2710402410473,375.5684484538949,2.4953219,2.7111345,2.5573202,2.5659815,2.6929873,2.5767718
2.6112482,2.7870687,2.7624446,451.4173011951123,615.4233925854589,588.8543667677322,2.702302,2.7724203,2.782826,2.7537925,2.7512513,2.7969314
2.8118481,2.8680345,2.9242388,670.8876542290752,765.8293386539816,866.3157297834663,2.8411157,2.8973454,2.9509631,2.8553202,2.9106806,2.9641225
-1.2509327,-1.0609893,-0.9091908,0.06504471273488147,0.0962242644545666,0.13299811938009343,-1.1111615,-0.9944372,-0.8441508,-1.090917,-0.9633584,-0.8130878
-0.7826801,-0.6664055,-0.5542416,0.1767097449289088,0.22982745081124928,0.29603325471165737,-0.7233792,-0.6104959,-0.5042859,-0.6946765,-0.5821621,-0.4807809
-0.4576925,-0.3679906,-0.2839427,0.3674859166073143,0.4506033332415364,0.5442225087485119,-0.4121938,-0.3248523,-0.245065,-0.3900512,-0.30415,-0.2264898
-0.2059919,-0.1341743,-0.0662219,0.6483538588385738,0.7648873879486554,0.8909004945137404,-0.170233,-0.0993092,-0.0341428,-0.1521251,-0.0826039,-0.0185359
0.0045624,0.1464852,0.2806431,1.1012811355032646,1.5159867308017747,2.0596702686665496,0.0780527,0.2142914,0.3466822,0.1116043,0.247651,0.379731
0.4128255,0.5425852,0.7083606,2.79429980214402,3.8074621964129305,5.728990472444937,0.4803428,0.6205752,0.8133741,0.5059839,0.6631987,0.8771014
0.9530896,1.336906,1.7524287,11.05031860837998,27.266431294175568,71.73232376316705,1.1421824,1.5381736,1.9356528,1.2401612,1.6445065,1.9380994
1.8464297,1.9755738,2.0533359,62.82138400205546,113.17666699533126,119.27732754037083,1.834111,2.0857138,2.0992849,1.8999473,2.0673878,2.1210725
2.1450131,2.2357321,2.3213656,147.18067826834212,180.9589218206744,219.81939082850235,2.1912288,2.279168,2.3624247,2.2137782,2.3004217,2.3825677
2.402428,2.479277,2.552206,264.2568172651052,314.6747530180507,371.40025706401127,2.4413648,2.5162068,2.5873155,2.4604482,2.5343189,2.6046136
2.6216033,2.6880022,2.7513468,434.95016506926015,505.9477862329936,584.4578552126248,2.6550786,2.7200272,2.7819896,2.6715244,2.7357742,2.7970606
2.8119742,2.8701278,2.9259503,671.0359691083603,766.1136494351853,870.0922492625447,2.8413583,2.8983169,2.9530502,2.8558174,2.9122017,2.9664034
