RAJ2000,DEJ2000,_2MASS,Gaia,more,Nep,Teff,e_Teff,logg,e_logg,l_RVmean,RVmean,e_RVmean,Fbol,e_Fbol,Av,e_Av
81.5639190673828,-2.89896988868713,b'2M05261534-0253562',3211033003507560576,b'*',1,7180.51,419.306,5.30919,0.128156,b' ',17.7299,0.44902,13.107574,0.0,0.5,0.0
84.9375305175781,-2.8969030380249,b'2M05394500-0253488',3216043959031371648,b'*',5,4793.16,30.1622,3.6552,0.0514444,b' ',58.821,0.119692,1.417919,0.040801,1.85,0.0500002
84.755973815918,-2.89531803131104,b'2M05390143-0253431',3216054954147676544,b'*',1,3721.46,23.6818,1.68891,0.0628741,b' ',51.764,0.148869,10.074759,0.0,1.5,0.1
84.38818359375,-2.89334511756897,b'2M05373316-0253360',3216099587447880576,b'*',1,4410.38,28.0048,3.15189,0.113733,b' ',93.083,0.252513,1.683567,0.129456,1.3,0.0500001
84.7740936279297,-2.89253497123718,b'2M05390578-0253331',3216054919787934592,b'*',4,6208.93,147.866,4.89467,0.115297,b' ',24.7901,0.237517,1.459666,0.020778,1.3,0.0500001
80.2087020874023,-2.89203405380249,b'2M05205008-0253313',3213987833631505664,b' ',1,4017.88,23.0012,5.07454,0.0920178,b' ',22.0559,0.371081,0.963892,0.074117,1.9,0.25
80.0132827758789,-2.89201998710632,b'2M05200318-0253312',3213968081078123776,b'*',2,4733.54,49.351,3.8196,0.0849552,b' ',62.9676,0.212038,1.874263,0.064073,1.65,0.05
82.4266204833984,-2.88990592956543,b'2M05294238-0253236',3216792314134079360,b'*',1,6126.33,68.5114,4.83241,0.0827865,b' ',15.661,0.185673,5.507983,0.156247,1.45,0.0500001
85.0654296875,-2.88908505439758,b'2M05401570-0253207',3216416276864290048,b'*',4,5905.79,29.7397,5.06708,0.0482307,b' ',54.7234,0.113901,1.801378,0.032603,0.65,0.05
81.2310256958008,-2.88843703269958,b'2M05245544-0253183',3211024344853765248,b'*',2,4126.21,17.3717,4.74154,0.0544024,b' ',21.9405,0.198491,0.970302,0.069284,1.6,0.2
