ID,_RAJ2000,_DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Ndet,Dt,F139,Note
243,83.80240131,-5.3838931,0.27,0.18,-3.55,0.48,7,20.1,13.09,5
244,83.81261584,-5.37530969,-1.54,0.15,-2.19,0.07,7,16.4,13.19,
245,83.80987289,-5.37668792,0.68,0.11,0.01,0.03,8,17,14.3,
246,83.81389023,-5.3736128,0.87,0.43,-1.51,0.47,6,16.4,12.88,
247,83.79277119,-5.38787354,-0.21,0.23,-1,0.08,6,17,13.55,
248,83.79990042,-5.38170639,0.82,0.57,0,0.53,6,19.4,11.92,
249,83.8117265,-5.37307344,-1.91,0.2,1.24,0.02,6,17,15.5,
250,83.80818453,-5.37552396,0.84,0.21,-1.48,0.23,3,4.4,15.8,
251,83.79422952,-5.38223683,-0.37,0.15,-0.24,0.1,6,17,13.22,
252,83.79600863,-5.37961407,2.19,0.14,1.7,0.18,6,20.1,13.22,
253,83.81360791,-5.36546301,-0.46,0.25,0.17,0.09,5,20.1,13.48,
254,83.79667293,-5.3771676,0.06,0.17,-1.41,0.28,5,11,13.68,
255,83.80966627,-5.36784355,0.09,0.5,3.3,0.48,3,16.3,14.11,3
256,83.81092505,-5.36692311,-1.16,0.13,-0.45,0.15,5,16.9,14.22,
257,83.79520225,-5.37799565,-0.11,0.16,-2.19,0.05,7,20.1,14.28,
258,83.80763693,-5.36920221,1.47,0.04,-2.34,0.04,5,11,14.31,
259,83.80824138,-5.366101,0.62,0.24,-0.6,0.04,4,16.9,13.95,
260,83.80751161,-5.36657478,0.05,0.27,0.2,0.06,4,16.9,11.24,
261,83.80440099,-5.36479078,-1.65,0.05,-1.42,0.04,3,16.3,13.46,
262,83.79389887,-5.37126372,-0.91,0.25,0.89,0.1,5,17,12.83,
263,83.78506451,-5.37505794,-0.98,0.19,0.32,0.06,6,17,14.01,
264,83.77568612,-5.37011403,-0.85,0.39,-0.75,0.16,5,11,13.49,
265,83.79903017,-5.35908737,1.3,0.16,-0.94,0.15,3,11,15.36,
266,83.79345684,-5.35958906,0.89,0.15,-1.6,1.15,3,11,15.51,
267,83.79701424,-5.35083266,-0.18,0.25,-0.6,0.38,5,20.1,14.49,
268,83.85429991,-5.41068973,-0.15,0.04,-1.05,0.19,5,19.4,15.31,
269,83.85196697,-5.40030389,-0.97,0.24,2.31,0.04,4,16.3,13.33,
