APOGEE_ID,PM_ID,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,Jmag,Jmag_e,Hmag,Hmag_e,Kmag,Kmag_e,Gaia
2M05352004-0525375,,83.8335,-5.42708333,26.74,0.66,,,,,4135,33,11.75,0.79,0.56,11.651,0.021,10.642,0.033,10.118,0.026,3017360902234822016
2M05352016-0526390,,83.834,-5.44416667,29.18,1.03,,,,,4422,8,53.5,1.09,0.15,10.213,0.023,9.444,0.032,9.193,0.019,3017360313812222720
2M05352017-0523085,441,83.83404167,-5.38569444,29.24,1.64,-2.14,0.69,-0.87,0.29,3867.8,12.47,40.21,1.46,0.95,13.314,,11.154,0.029,10.455,0.018,
2M05352054-0524208,104,83.83558333,-5.40577778,27.47,0.21,-0.58,0.2,-0.92,0.05,3572.29,50.85,7.87,1.48,1.64,12.688,,11.756,0.06,11.105,0.033,3017361108393218816
2M05352056-0520431,192,83.83566667,-5.34530556,29.39,1.53,-0.29,0.05,0.28,0.82,3498.69,252.68,17.07,1.19,0.55,12.547,0.022,11.331,0.029,10.77,0.033,3017365884396341888
2M05352067-0523531,72,83.836125,-5.39808333,25.7,0.2,0.09,0.12,0.31,0.05,2978.36,7.07,10.68,1.18,0.3,11.721,,11.041,0.059,10.588,0.041,3017361104086334976
2M05352076-0521550,,83.8365,-5.36527778,25.24,1.53,,,,,4288,14,10.22,0.71,0.58,11.415,0.08,10.388,0.075,9.667,0.061,3017365643870379008
2M05352082-0521216,34,83.83675,-5.356,32.46,0.26,0.7,2.17,0.83,0.91,4020.81,16.31,35.5,1.37,1.42,12.442,0.056,11.484,0.062,10.616,0.049,3017365643877590272
2M05352103-0522250,86,83.837625,-5.37361111,27.16,0.18,-1.02,0.09,1.41,0.72,3725.53,8.1,16.62,0.72,0.83,12.56,,11.939,0.075,11.099,0.075,3017364093383574784
2M05352104-0523490,,83.83766667,-5.39694444,31.25,0.23,,,,,4503,10,54.8,0.31,0.12,9.473,0.026,8.762,0.042,8.486,0.026,3017361108393637120
2M05352115-0525569,612,83.838125,-5.43247222,22.19,0.23,1.04,0.26,-0.11,0.16,4107.03,7.56,29.68,0.54,0.45,12.024,0.021,10.752,0.03,9.922,0.018,3017360696076379392
2M05352139-0526439,,83.839125,-5.44552778,26.03,0.21,,,,,4386,7,19.74,0.17,0.13,10.481,0.028,9.635,0.038,9.397,0.026,3017360627357038592
2M05352162-0526576,,83.84008333,-5.44933333,30.06,1.01,,,,,3061,9,72.25,0.95,0.33,12.844,0.024,12.089,0.03,11.781,0.018,3017360249399919616
2M05352166-0525264,,83.84025,-5.424,25.74,0.18,,,,,4209,12,12.44,1.36,0.59,11.776,0.021,10.887,0.034,10.504,0.018,3017360726129086848
2M05352172-0526443,617,83.8405,-5.44563889,26.49,0.63,1.05,0.06,1.38,0.03,3749.12,8.63,16.95,0.86,0.61,12.82,0.05,11.95,0.045,11.47,0.028,3017360627357037696
2M05352181-0523539,139,83.840875,-5.39830556,25.79,1.28,0.98,0.09,0.84,0.21,4535.92,8.94,48.97,0.5,0.14,10.358,0.037,9.708,0.038,9.382,0.029,3017361108392950016
2M05352184-0522082,89,83.841,-5.36894444,26.71,0.27,0.15,0.29,1.13,0.13,4067.68,11.01,23.87,0.5,0.44,12.641,0.034,11.652,0.029,11.248,0.018,3017365570852327936
2M05352208-0524327,145,83.842,-5.40908333,23.37,0.2,1.36,0.47,-1.32,0.33,3257.96,8.18,12.89,0.68,0.71,11.621,0.111,11.013,0.102,10.218,0.086,3017361039673740672
2M05352219-0526373,,83.84245833,-5.44369444,29.56,0.31,,,,,4246,7,34.67,0.1,0.13,11.444,0.021,10.493,0.032,10.194,0.018,3017360623049874176
2M05352226-0520292,,83.84275,-5.34144444,23.37,0.34,,,,,4526,6,13.41,0.83,0.08,10.869,0.024,10.262,0.03,10.107,0.019,3017365880089976064
2M05352244-0522010,558,83.8435,-5.36694444,22.86,0.29,0.03,0.09,-1.2,0.11,4467.55,7.58,19.88,1.08,0.36,11.84,0.034,10.699,0.048,10.054,0.035,3017365575158623360
2M05352246-0525451,652,83.84358333,-5.42919444,30.53,0.41,-2.23,0.31,-1.26,0.45,3544.14,12.54,14.72,0.88,0.91,12.781,0.087,11.906,0.092,11.219,0.066,3017360726129090176
2M05352274-0519478,,83.84475,-5.32994444,30.2,0.22,,,,,4292,12,31.28,0.39,0.46,14.449,0.086,12.294,0.065,11.023,0.041,
2M05352296-0522415,551,83.84566667,-5.37819444,28.32,1.53,-0.59,0.13,2.26,0.07,4477.92,8.26,66.41,0.82,0.07,12.523,0.022,10.997,0.029,10.31,0.032,3017364097690157952
