APOGEE_ID,ID_kim,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,note
2M05351846-0524068,506,83.82691667,-5.40188889,27.13,0.21,-0.17,0.42,0.43,0.17,3849.71,9.16,19.76,0.22,0.84,
2M05351851-0520427,119,83.82712500,-5.34519444,31.06,1.62,-1.70,0.12,0.60,0.22,3685.33,15.17,50.66,0.60,0.73,
2M05351858-0526248,,83.82741667,-5.44022222,24.92,7.93,,,,,3832,102,3.11,28.24,1.36,
2M05351866-0523139,,83.82775000,-5.38719444,31.91,0.28,,,,,5103,5,39.12,1.17,1.21,
2M05351884-0522229,20,83.82850000,-5.37302778,23.73,0.91,0.14,0.20,-0.04,0.15,3721.33,235.56,15.83,7.06,1.58,
2M05351894-0520522,549,83.82891667,-5.34783333,24.41,0.15,1.72,0.29,-0.99,0.15,4035.02,13.79,11.85,1.22,2.06,
2M05351906-0523495,148,83.82941667,-5.39708333,45.52,1.25,1.86,0.36,-1.37,1.24,4429.27,17.62,53.25,3.39,0.83,E3
2M05351913-0520387,,83.82970833,-5.34408333,37.94,8.57,,,,,6996,4,299.17,0.99,0.47,
2M05351930-0520078,,83.83041667,-5.33550000,32.90,1.78,,,,,6273,91,117.19,10.98,0.75,
2M05351965-0524266,573,83.83187500,-5.40738889,23.19,0.20,0.33,0.34,-0.29,0.09,3946.35,9.24,18.18,0.34,1.10,
2M05352004-0521059,,83.83350000,-5.35163889,37.13,0.21,,,,,4437,7,48.90,0.42,0.27,
2M05352004-0525375,,83.83350000,-5.42708333,26.74,0.66,,,,,4135,33,11.75,0.79,0.56,
2M05352016-0526390,,83.83400000,-5.44416667,29.18,1.03,,,,,4422,8,53.50,1.09,0.15,
2M05352017-0523085,441,83.83404167,-5.38569444,29.24,1.64,-2.14,0.69,-0.87,0.29,3867.80,12.47,40.21,1.46,0.95,
2M05352054-0524208,104,83.83558333,-5.40577778,27.47,0.21,-0.58,0.20,-0.92,0.05,3572.29,50.85,7.87,1.48,1.64,
2M05352056-0520431,192,83.83566667,-5.34530556,29.39,1.53,-0.29,0.05,0.28,0.82,3498.69,252.68,17.07,1.19,0.55,
2M05352067-0523531,72,83.83612500,-5.39808333,25.70,0.20,0.09,0.12,0.31,0.05,2978.36,7.07,10.68,1.18,0.30,
2M05352076-0521550,,83.83650000,-5.36527778,25.24,1.53,,,,,4288,14,10.22,0.71,0.58,
2M05352082-0521216,34,83.83675000,-5.35600000,32.46,0.26,0.70,2.17,0.83,0.91,4020.81,16.31,35.50,1.37,1.42,
2M05352103-0522250,86,83.83762500,-5.37361111,27.16,0.18,-1.02,0.09,1.41,0.72,3725.53,8.10,16.62,0.72,0.83,
2M05352104-0523490,,83.83766667,-5.39694444,31.25,0.23,,,,,4503,10,54.80,0.31,0.12,
2M05352115-0525569,612,83.83812500,-5.43247222,22.19,0.23,1.04,0.26,-0.11,0.16,4107.03,7.56,29.68,0.54,0.45,
