[HC2000],RAJ2000,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag
716,05 35 09.03,-05 25 26.0, ,16.776, ,18.246,0.074,0.11
717,05 35 09.20,-05 25 31.9, ,17.292, ,18.458,0.091,0.093
718,05 35 07.52,-05 21 45.9, ,16.975, ,17.927,0.049,0.064
719,05 35 13.70,-05 25 31.9, ,17.278, ,18.32,0.099,0.106
720,05 35 11.51,-05 25 05.8, ,17.114, ,18.304,0.132,0.142
721,05 35 13.18,-05 24 24.9, ,15.182, ,16.049,0.064,0.045
722,05 35 09.79,-05 24 06.7, ,17.432, ,17.118,0.111,0.045
723,05 35 09.91,-05 24 10.5, ,16.071, ,16.541,0.036,0.027
724,05 35 09.03,-05 23 26.3, ,16.51, ,16.737,0.025,0.019
725,05 35 08.27,-05 23 07.8, ,16.075, ,17.085,0.037,0.039
726,05 35 25.67,-05 25 43.5, ,17.031, ,18.093,0.056,0.079
727,05 35 20.36,-05 25 25.7, ,18.289, ,      ,0.33,
728,05 35 19.51,-05 23 39.7, ,16.337, ,17.058,0.259,0.2
729,05 35 21.12,-05 22 50.2, ,16.024, ,17.381,0.044,0.064
730,05 35 21.71,-05 22 38.3, ,15.149, ,16.445,0.048,0.096
731,05 35 20.79,-05 22 36.3, ,15.787, ,17.189,0.102,0.158
732,05 35 20.77,-05 22 39.5, ,16.799, ,16.777,0.229,0.09
733,05 35 22.33,-05 22 13.1, ,16.54, ,19.166,0.253,1.041
734,05 35 21.28,-05 22 09.1, ,15.741, ,16.121,0.079,0.055
735,05 35 18.30,-05 21 49.5, ,15.816, ,16.558,0.064,0.049
736,05 35 23.34,-05 20 48.1, ,16.912, ,18.955,0.034,0.161
737,05 35 26.29,-05 20 59.7, ,16.417, ,19.348,0.043,0.426
738,05 35 16.32,-05 20 59.0, ,15.351, ,16.442,0.071,0.118
739,05 35 15.32,-05 20 55.0, ,16.153, ,19.54,0.052,0.518
740,05 35 08.32,-05 21 02.4, ,15.883, ,16.973,0.029,0.046
741,05 35 06.67,-05 22 44.6, ,16.256, ,      ,0.018,
742,05 35 06.54,-05 22 28.6, ,17.587, ,18.146,0.117,0.104
743,05 35 08.10,-05 23 15.2, ,16.89, ,17.612,0.165,0.075
744,05 35 15.07,-05 24 22.1, ,15.355, ,16.216,0.086,0.11
745,05 35 16.55,-05 22 53.7, ,15.893, ,16.567,0.098,0.077
746,05 35 12.14,-05 21 48.5, ,14.953, ,18.519,0.04,0.427
747,05 35 12.16,-05 21 53.8, ,14.89, ,17.89,0.083,0.115
748,05 35 09.70,-05 21 52.1, ,16.223, ,18.185,0.048,0.177
749,05 35 08.34,-05 23 21.9, ,17.399, ,18.041,0.077,0.058
750,05 35 11.42,-05 21 44.6, ,15.669, ,      ,0.045,
751,05 35 12.20,-05 22 30.8, ,14.836, ,19.856,0.082,1.007
752,05 35 12.27,-05 22 27.1, ,14.212, ,17.365,0.053,0.091
753,05 35 12.43,-05 22 08.7, ,14.286, ,17.577,0.066,0.105
754,05 35 23.04,-05 24 59.9,>,10.724,>,10.35,0.014,0.021
755,05 35 14.71,-05 22 35.5, ,12.436, ,12.299,0.024,0.005
756,05 35 14.67,-05 22 38.6, ,14.287, ,15.061,0.136,0.043
757,05 35 14.69,-05 22 38.2,>,13.543,>,15.219,0.03,0.073
758,05 35 16.24,-05 22 24.3,>,12.948,>,14.38,0.103,0.059
759,05 35 14.50,-05 22 29.4, ,14.881, ,      ,0.196,
760,05 35 14.01,-05 21 51.9, ,15.673, ,18.649,0.378,0.614
761,05 35 12.46,-05 21 37.8, ,14.882, ,17.431,0.08,0.21
762,05 35 12.37,-05 21 54.8, ,13.906, ,16.839,0.034,0.079
763,05 35 23.31,-05 25 05.8, ,14.794, ,15.83,0.032,0.061
764,05 35 17.97,-05 23 53.6, ,14.623, ,15.502,0.026,0.024
765,05 35 18.53,-05 23 47.9, ,14.638, ,15.772,0.057,0.083
766,05 35 20.00,-05 23 28.8, ,15.856, ,16.605,0.038,0.056
767,05 35 11.68,-05 23 36.0, ,14.684, ,18.07,0.055,0.189
768,05 35 16.14,-05 22 45.1, ,13.385, ,15.903,0.038,0.048
769,05 35 15.96,-05 22 41.1, ,13.164, ,17.419,0.039,0.624
770,05 35 12.68,-05 21 47.6, ,14.775, ,17.313,0.097,0.173
771,05 35 14.86,-05 22 44.1, ,14.614, ,15.925,0.065,0.046
772,05 35 11.98,-05 22 08.0, ,14.069, ,      ,0.047,
773,05 35 14.82,-05 22 23.2, ,13.023, ,14.412,0.028,0.041
774,05 35 18.23,-05 24 13.0, ,13.86, ,14.672,0.021,0.025
775,05 35 25.45,-05 21 51.5,>,10.049,>,10.822,0.002,0.008
776,05 35 19.27,-05 20 49.9,>,13.208,>,14.257,0.005,0.011
777,05 35 07.57,-05 22 00.5, ,17.626, ,20.793,0.121,1.055
778,05 35 23.19,-05 23 58.3, ,17.649, ,18.374,0.891,0.799
