mass,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
1.48,4833.100282310063,4813.372519929018,4876.358653481317,3.9114722258934496,3.7066639991179855,4.015669568707226,0.3884839930312466,0.5861869506730798,0.29976594893329933
1.5,4847.765115837773,4824.197083683993,4896.189450508608,3.9112462243046893,3.706778015575423,4.014580129287519,0.39980258775244226,0.595804746868831,0.31373522437053086
1.52,4862.398658516917,4834.852330551065,4915.846106244964,3.9108838428165726,3.707000749630306,4.013331737755861,0.4111532713691849,0.6051670295072775,0.3276962017849877
1.54,4877.018268654854,4845.065169191205,4935.575234764104,3.9103661459520116,3.707058407406991,4.011918070990116,0.42256337749860706,0.6144521387492446,0.3417449908746626
1.56,4891.432409435926,4855.166365239822,4954.773391646792,3.909846243003819,3.7071456772764506,4.0104045510922965,0.43381385377496173,0.6235867166466439,0.35560646732725687
1.58,4905.591556858718,4865.230639601216,4974.714188108357,3.9092942053058994,3.707235362398295,4.008774415139441,0.44491969431763195,0.6326267878614885,0.3697464405386785
1.6,4919.723481432032,4875.007584468823,4994.120579393672,3.9085835556067803,3.707251076062811,4.006837556781729,0.4560904691035587,0.6415614188808991,0.38390975079985135
1.62,4933.496419485455,4885.042118242226,5013.768317443679,3.907745721026849,3.707165848148601,4.004802482696108,0.46717982967464566,0.6506137446483137,0.3981608059816664
1.64,4947.489054108386,4894.417711357084,5033.528161996457,3.906893536959326,3.707071818352319,4.002701073781849,0.47828094443657204,0.6593674814948154,0.412424010833014
1.66,4961.355797298041,4903.943458431193,5053.217469726561,3.906012526258973,3.7070219806780442,4.000323971092973,0.48928831752108914,0.668059249831636,0.4268472959195883
1.68,4975.1784899241275,4913.283135379907,5072.645755444055,3.9049227440773815,3.706812517775501,3.9977409438633895,0.5004124643521369,0.6767752553217647,0.44129769817050835
1.7,4988.9016523405335,4922.728040092364,5092.689094780959,3.903785109276414,3.7066113704510064,3.9950555774170446,0.5114748432874046,0.685452248144322,0.4559732176503916
1.72,5002.5081688341215,4931.460567767641,5112.352819797982,3.902581644439791,3.7063748349832415,3.9921490381224594,0.52248928745618,0.6938471932314149,0.4706538988847464
1.74,5016.1658827609845,4940.497585335655,5132.223880933894,3.9013590682577095,3.7061941433344527,3.9889800707125604,0.533468997605449,0.7022291912108284,0.4855827652963812
1.76,5029.870106430161,4949.333895640246,5152.497794635974,3.8999178948607343,3.7058292134771698,3.9855614636036756,0.5446131081036518,0.710661787946496,0.5008136753614977
1.78,5043.0235512168065,4957.749101847167,5172.58588172089,3.8983541091878866,3.7054090451693966,3.9818894909084883,0.5556211329740273,0.7189404537264392,0.5161525624859449
1.8,5056.630714679472,4966.5579604382565,5193.016325080426,3.896761785894542,3.7050417605275423,3.9780892415721523,0.5667469253234586,0.7272440943265644,0.5316532234407328
1.82,5070.075175513958,4974.9942528356805,5213.213325142715,3.895133956209822,3.7046685089566087,3.974000533861373,0.577786278310311,0.7353645286750898,0.5472840468858438
1.84,5083.528544400993,4983.231856592866,5234.001400137097,3.8933778858069865,3.704241307397331,3.9694778617565922,0.5888922530042061,0.7434122074570478,0.5634665029782835
1.86,5097.18563634929,4991.857431868683,5254.791692086379,3.8914230989066847,3.703665523643848,3.9645967100084962,0.6002028960521099,0.7516874278310153,0.5799294540897836
1.88,5110.2037097766315,4999.654317536899,5275.761945590623,3.8893361045580526,3.703070297555936,3.959442651306789,0.6113658430444439,0.7596387752676562,0.5966471607393838
1.9,5124.046673970045,5008.226966119038,5297.270410994275,3.8872303935132364,3.702481733636114,3.9540286397898807,0.6227667605510795,0.7677991881245637,0.6137247296995605
1.92,5137.439125295772,5016.256083126457,5318.702211289164,3.885002527186397,3.701905832099899,3.9481914199314323,0.6340767004918191,0.775705504754226,0.6311237037708434
1.94,5150.5721387032945,5024.206893527697,5340.796645619536,3.882647506544166,3.7012821339181134,3.9415921765250226,0.6453673623414079,0.7835809656521924,0.6494249134308412
1.96,5164.407024525402,5032.173806092403,5362.926189527104,3.880032775829107,3.7004863230588114,3.93459879664689,0.6570963885864054,0.7915835878156303,0.6680557421467308
1.98,5177.709422635833,5039.749402185838,5385.630394901511,3.877360795266094,3.69970057764744,3.927216669745016,0.6686463289918725,0.7993916879792368,0.6871858873294092
2.0,5191.376296912582,5047.616044360059,5408.857987437109,3.8746629390259146,3.699001636658723,3.919040263384542,0.6802883331452689,0.8071649137710177,0.7072032305497621
2.02,5204.830814829032,5055.278445950384,5432.644466255599,3.8715774642225833,3.6980790533136836,3.910144636356782,0.6921916092420096,0.8150439478145256,0.7280430484453254
2.04,5218.944772268463,5063.450138041382,5457.461981548875,3.868472451241397,3.6972462979780807,3.9004939117144226,0.7042797543372329,0.8229613241846121,0.749890307550543
2.06,5232.69147396065,5070.7721505717755,5482.647875768402,3.8651317745728884,3.6962856691257073,3.8902075007058805,0.7164271936086216,0.8306692401255372,0.7724123087298389
